OBJECTID;Area;Funzionante;VIA___P_zza___Corso;Indirizzo;Civico;Città;CAP;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
291;Largo Brasilia;SI;Largo;Brasilia;;MILANO;20146;6;52;BANDE NERE;9.136180000000024;45.45193000000006;(45.45193000000006, 9.136180000000024)
293;Largo Fatima;SI;Largo ;Fatima;;MILANO;20147;6;53;LORENTEGGIO;9.12952000000007;45.44885000000005;(45.44885000000005, 9.12952000000007)
294;Largo Fatima;SI;Largo ;Fatima;;MILANO;20147;6;53;LORENTEGGIO;9.13023000000004;45.44916000000006;(45.44916000000006, 9.13023000000004)
296;Piazza Tirana;SI;Piazza;Tirana;;MILANO;20147;6;49;GIAMBELLINO;9.129410000000064;45.444390000000055;(45.444390000000055, 9.129410000000064)
297;Piazza Tirana;SI;Piazza;Tirana;22;MILANO;20147;6;49;GIAMBELLINO;9.12910000000005;45.44315000000006;(45.44315000000006, 9.12910000000005)
298;Piazza Tirana;SI;Piazza;Tirana;;MILANO;20147;6;49;GIAMBELLINO;9.130530000000022;45.44312000000008;(45.44312000000008, 9.130530000000022)
299;G.ni Gonin Ferrari;SI;Via;Giordani;;MILANO;20147;6;49;GIAMBELLINO;9.124190000000056;45.44202000000007;(45.44202000000007, 9.124190000000056)
300;G.ni Gonin Ferrari;SI;Via;Gonin;11;MILANO;20147;6;49;GIAMBELLINO;9.129230000000064;45.444390000000055;(45.444390000000055, 9.129230000000064)
302;Lorenteggio;SI;Via;Molinetto di Lorenteggio;;MILANO;20147;6;49;GIAMBELLINO;9.116730000000075;45.44145000000003;(45.44145000000003, 9.116730000000075)
303;Lorenteggio;SI;Via;Molinetto di Lorenteggio;;MILANO;20147;6;49;GIAMBELLINO;9.11641000000003;45.442540000000065;(45.442540000000065, 9.11641000000003)
304;Viale Famagosta;SI;Viale;Famagosta;;MILANO;20147;6;49;GIAMBELLINO;9.116350000000068;45.442540000000065;(45.442540000000065, 9.116350000000068)
305;Parco Sieroterapico;SI;Via;Segantini;;MILANO;20143;6;44;PORTA TICINESE - CONCHETTA;9.172470000000033;45.44620000000003;(45.44620000000003, 9.172470000000033)
306;Parco Sieroterapico;SI;Via;Segantini;71;MILANO;20143;6;44;PORTA TICINESE - CONCHETTA;9.172380000000032;45.44483000000008;(45.44483000000008, 9.172380000000032)
307;Parco Sieroterapico;SI;Via;Segantini;22;MILANO;20143;6;44;PORTA TICINESE - CONCHETTA;9.172390000000064;45.44627000000003;(45.44627000000003, 9.172390000000064)
308;Borsi/Gola;SI;Via;Giosuè Borsi;10;MILANO;20143;6;44;PORTA TICINESE - CONCHETTA;9.174890000000062;45.447640000000035;(45.447640000000035, 9.174890000000062)
309;CAM La Spezia;SI;Via;Spezia;;MILANO;20142;6;45;MONCUCCO - SAN CRISTOFORO;9.17223000000007;45.43961000000007;(45.43961000000007, 9.17223000000007)
310;CAM La Spezia;SI;Via;Spezia;;MILANO;20142;5;43;TIBALDI;9.172160000000076;45.439310000000035;(45.439310000000035, 9.172160000000076)
311;Bocconi;SI;Via;Bocconi;26;MILANO;20136;5;5;PORTA VIGENTINA - PORTA LODOVICA;9.190690000000075;45.447940000000074;(45.447940000000074, 9.190690000000075)
318;ex OM;SI;Via;Spadolini;;MILANO;20141;5;37;MORIVIONE;9.194450000000074;45.44459000000006;(45.44459000000006, 9.194450000000074)
319;ex OM;SI;Via;Spadolini;;MILANO;20141;5;37;MORIVIONE;9.188650000000052;45.44419000000005;(45.44419000000005, 9.188650000000052)
321;Ripamonti 35;SI;Viale;Ripamonti;40;MILANO;20136;5;5;PORTA VIGENTINA - PORTA LODOVICA;9.197930000000042;45.44643000000008;(45.44643000000008, 9.197930000000042)
323;Ripamonti 88;SI;Via;Ripamonti;66;MILANO;20141;5;37;MORIVIONE;9.198780000000056;45.44351000000006;(45.44351000000006, 9.198780000000056)
324;Ripamonti 157;SI;Via;Ripamonti;156;MILANO;20141;5;38;VIGENTINO - Q.RE FATIMA;9.200980000000072;45.43560000000008;(45.43560000000008, 9.200980000000072)
325;Ripamonti 248;SI;Via;Ripamonti;246/A;MILANO;20141;5;38;VIGENTINO - Q.RE FATIMA;9.202810000000056;45.42805000000004;(45.42805000000004, 9.202810000000056)
327;Piazza Agrippa;SI;Piazza;Agrippa;10;MILANO;20141;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.182840000000056;45.43309000000005;(45.43309000000005, 9.182840000000056)
328;Via Palmieri;SI;Via;Nicola Palmieri;22;MILANO;20141;5;42;STADERA - CHIESA ROSSA - Q.RE TORRETTA - CONCA FALLATA;9.177350000000047;45.43507000000005;(45.43507000000005, 9.177350000000047)
